ID,Business,Year_Of_Commitment ,Guaranteed_Approved _Loan,Borrower_Name ,Low_Documentation_Loan,Demography,ChargedOff_Amount ,Count_Employees,Classification_Code ,Loan_Approved_Gross,Gross_Amount_Disbursed  ,Loan_Term,Code_Franchise,Name_Of_Bank,Revolving_Credit_Line,Target
50,Existing,2007,Rs.3048000.0,Spotted Cow Ice Cream and Coff,No,Urban,Rs.4725944.32,14,722213,Rs.6096000.0,Rs.14427200.0,42,0,ICICI Bank Ltd.,Yes,1
51,Existing,2001,Rs.9851948.8,MAIL CALL & GIFTWORKS,No,Urban,Rs.4482104.32,3,561431,Rs.11590528.0,Rs.11590528.0,114,1,Utkarsh Small Finance Bank Ltd.,No,1
52,Existing,2007,Rs.1381760.0,"V & R Of Orlando, Inc.",No,Urban,Rs.0.0,2,445299,Rs.1625600.0,Rs.1625600.0,126,0,Tamilnad Mercantile Bank Ltd.,No,0
53,Existing,2000,Rs.10891520.0,MERCY MEDICAL GROUP,No,Urban,Rs.0.0,4,621210,Rs.10891520.0,Rs.10891520.0,360,1,North East Small finance Bank Ltd,No,0
54,New,1997,Rs.4876800.0,SPORTS ORTHOPEDICS & ACT.REHAB,Yes,Undefined,Rs.0.0,4,0,Rs.6096000.0,Rs.3755786.24,90,1,Jana Small Finance Bank Ltd,No,0
55,New,1998,Rs.5852160.0,BRAD FULKERSON,Yes,Undefined,Rs.0.0,1,621210,Rs.7315200.0,Rs.7315200.0,126,1,Shivalik Small Finance Bank Ltd,0,0
56,Existing,1996,Rs.6502400.0,"STEIN AUTO & AG, INC.",Yes,Undefined,Rs.0.0,6,0,Rs.8128000.0,Rs.8128000.0,126,1,Unity Small Finance Bank Ltd,No,0
57,New,2005,Rs.5283200.0,"Koffee Klutch,Inc.",No,Urban,Rs.3564615.68,2,453998,Rs.10566400.0,Rs.10566400.0,75,0,Airtel Payments Bank Ltd,No,1
58,New,2002,Rs.6908800.0,PEBBLE CREEK PEDIATRICS INC,No,Urban,Rs.0.0,1,621111,Rs.8128000.0,Rs.8128000.0,180,1,India Post Payments Bank Ltd,0,0
59,New,2009,Rs.345440.0,"CLEAR INVESTMENTS, LLC",,Urban,Rs.355681.28,1,611699,Rs.406400.0,Rs.406400.0,147,0,FINO Payments Bank Ltd,No,1
60,New,1991,Rs.5592064.0,"CLUB 300, INCORPORATED",No,Undefined,Rs.0.0,7,0,Rs.6990080.0,Rs.6990080.0,270,1,Paytm Payments Bank Ltd,No,0
61,Existing,2008,Rs.1016000.0,BRIAN T VILORD,No,Urban,Rs.962192.64,1,236118,Rs.2032000.0,Rs.2032000.0,39,0,Karur Vysya Bank Ltd.,No,1
62,Existing,2005,Rs.8128000.0,TENMORI FOODS INC,No,Urban,Rs.0.0,4,236118,Rs.16256000.0,Rs.16256000.0,126,1,Au Small Finance Bank Ltd.,0,0
63,Existing,1990,Rs.26334720.0,VISTA TAOS RENEWAL CENTER,No,Undefined,Rs.0.0,4,0,Rs.32918400.0,Rs.32918400.0,360,1,Karur Vysya Bank Ltd.,No,0
64,New,2008,Rs.24688800.0,"Blue Bottle Cafe, LLC",No,Urban,Rs.0.0,1,311920,Rs.32918400.0,Rs.32918400.0,186,0,ESAF Small Finance Bank Ltd.,No,0
65,New,2007,Rs.406400.0,"JLB Online, Inc.",No,Urban,Rs.798413.4400000001,2,238350,Rs.812800.0,Rs.1272682.24,92,0,Karur Vysya Bank Ltd.,Yes,1
66,Existing,2008,Rs.325120.0,NEW SPEED WIRELESS INC,No,Urban,Rs.0.0,2,424990,Rs.650240.0,Rs.1833351.68,126,1,Jio Payments Bank Ltd,Yes,0
67,New,2007,Rs.10972800.0,PUERTA DOOR & HARDWARE INC,No,Rural,Rs.0.0,2,238290,Rs.14630400.0,Rs.14630400.0,135,1,NSDL Payments Bank Limited,0,0
68,Existing,2007,Rs.2844800.0,BOW WOW INNOVATIONS DOGGIE PAW,No,Urban,Rs.5561177.6,2,311111,Rs.5689600.0,Rs.15877722.88,80,1,Bank of Baroda,No,1
69,Existing,2003,Rs.1016000.0,KARIM CAR WASH,No,Urban,Rs.0.0,8,811192,Rs.2032000.0,Rs.2032000.0,126,1,ICICI Bank Ltd.,Yes,0
70,Existing,2004,Rs.4064000.0,THE SAGE BAKING COMPANY LLC,No,Urban,Rs.0.0,16,311812,Rs.8128000.0,Rs.8128000.0,126,1,ICICI Bank Ltd.,Yes,0
71,Existing,2007,Rs.812800.0,"B.W. CONTRACTORS, LLC",No,Urban,Rs.1515953.28,6,236115,Rs.1625600.0,Rs.1848713.6,96,0,Karur Vysya Bank Ltd.,Yes,1
72,Existing,2005,Rs.406400.0,LJ CONTRACTING,No,Urban,Rs.788416.0,2,236118,Rs.812800.0,Rs.812800.0,8,1,Bank of India,T,1
73,New,2007,Rs.5181600.0,STONE TECH MASONRY INC,No,Urban,Rs.2792618.24,5,238140,Rs.6096000.0,Rs.5913282.5600000005,10,1,Bank of Maharashtra,0,1
74,Existing,1989,Rs.5632704.0,Z.V. MANUFACTURING COMPANY,No,Undefined,Rs.0.0,2,0,Rs.6258560.0,Rs.6258560.0,144,1,Ujjivan Small Finance Bank Ltd.,No,0
75,New,2007,Rs.3860800.0,"HEALTH 1ST OF GREENFIELD, P.C.",No,Urban,Rs.0.0,11,621310,Rs.7721600.0,Rs.7721600.0,126,0,City Union Bank Ltd.,Yes,0
76,New,2009,Rs.3454400.0,KID CITY ACADEMY,No,Urban,Rs.3811463.04,14,624410,Rs.4064000.0,Rs.4064000.0,140,0,Canara Bank,No,1
77,New,2007,Rs.1028192.0,"New Country Cleaners, LLC",No,Urban,Rs.0.0,4,812320,Rs.2056384.0,Rs.2056384.0,126,0,Dhanlaxmi Bank Ltd.,No,0
78,New,2008,Rs.386080.0,CAKE SERA SERA INC,No,Urban,Rs.756391.68,2,311811,Rs.772160.0,Rs.1590080.6400000001,42,0,IDBI Bank Limited,Yes,1
79,Existing,2006,Rs.609600.0,KIL JONG KO DBA ACE POOL MAINT,No,Urban,Rs.0.0,1,561790,Rs.1219200.0,Rs.1219200.0,126,0,Subhadra Local Bank Ltd,No,0
80,Existing,2005,Rs.609600.0,MAURICE MONTMINY AUTO INC.,No,Urban,Rs.1097280.0,2,811111,Rs.1219200.0,Rs.1218468.48,20,1,City Union Bank Ltd.,No,1
81,Existing,1988,Rs.18125440.0,RICHARD & SANDRA MOORE,No,Undefined,Rs.0.0,10,0,Rs.18125440.0,Rs.18125440.0,360,0,Central Bank of India,No,0
82,New,1999,Rs.3251200.0,"AT HOME CARE, INC.",Yes,Rural,Rs.0.0,8,621610,Rs.4064000.0,Rs.4064000.0,90,1,Indian Bank,0,0
83,Existing,1994,Rs.26517600.0,"AIRWAY SERVICE, INC.",No,Undefined,Rs.0.0,8,0,Rs.35356800.0,Rs.35356800.0,342,1,Paytm Payments Bank Ltd,No,0
84,Existing,1994,Rs.5405120.0,"HELEN ROXBOROUGH, M.D., R.N.",No,Undefined,Rs.0.0,1,0,Rs.7721600.0,Rs.7721600.0,396,1,IDBI Bank Limited,No,0
85,New,2002,Rs.5181600.0,OLSON AUTOMOTIVE SERVICES L.L.,No,Urban,Rs.3136513.92,2,811118,Rs.6096000.0,Rs.6096000.0,66,1,HDFC Bank Ltd,0,1
86,New,2003,Rs.10363200.0,"THE LITTLE GYM OF COEUR, MISSO",Yes,Urban,Rs.0.0,9,624410,Rs.12192000.0,Rs.12192000.0,108,48450,CSB Bank Limited,0,0
87,New,2006,Rs.52344320.0,McNeace Management Company LLC,No,Urban,Rs.0.0,1,722211,Rs.52344320.0,Rs.52344320.0,360,10703,Indian Overseas Bank,0,0
88,Existing,1993,Rs.8193024.0,SOUTHERN AIR,No,Undefined,Rs.3336787.84,4,115112,Rs.9103360.0,Rs.9103360.0,36,1,Punjab & Sind Bank,No,1
89,Existing,2006,Rs.609600.0,HEINZS CONSTRUCTION,No,Urban,Rs.0.0,1,236115,Rs.1219200.0,Rs.1219200.0,90,1,IDBI Bank Limited,Yes,0
90,Existing,2007,Rs.97304352.0,CENTRO FINANCIERO AMIGO AND CE,No,Urban,Rs.0.0,22,531210,Rs.129739136.0,Rs.129739136.0,396,1,Punjab National Bank,0,0
91,Existing,2006,Rs.2032000.0,INTERMED MGMT,No,Urban,Rs.0.0,58,623110,Rs.4064000.0,Rs.5179974.4,126,1,State Bank of India,Yes,0
92,Existing,1998,Rs.10972800.0,SHORE ENVIRONMENTAL SERVICES,No,Undefined,Rs.0.0,4,0,Rs.14630400.0,Rs.14630400.0,162,1,Bank of Baroda,0,0
93,Existing,1996,Rs.4876800.0,"CHROMATIC TECHNOLOGIES, INC.",Yes,Undefined,Rs.0.0,6,325910,Rs.6096000.0,Rs.6096000.0,126,1,Fincare Small Finance Bank Ltd.,No,0
94,Existing,2006,Rs.731520.0,Raul Jimenez Construction,No,Urban,Rs.0.0,1,236118,Rs.1463040.0,Rs.1463040.0,126,0,ICICI Bank Ltd.,Yes,0
95,Existing,2002,Rs.11582400.0,GLEN D ANDREWS,No,Urban,Rs.0.0,3,441120,Rs.15443200.0,Rs.15443200.0,270,1,ICICI Bank Ltd.,0,0
96,Existing,2004,Rs.103632000.0,"PARAGON FURNITURE MGMT., INC.",No,Urban,Rs.0.0,39,337127,Rs.138176000.0,Rs.138176000.0,225,1,UCO Bank,No,0
97,New,2004,Rs.3454400.0,KARL CHAMBERS & ASSOCIATES PC,Yes,Urban,Rs.0.0,4,541320,Rs.4064000.0,Rs.4064000.0,94,1,Union Bank of India,0,0
98,Existing,2003,Rs.1625600.0,S & S PLAZA LIQUOR & MARKET,No,Urban,Rs.0.0,3,445310,Rs.3251200.0,Rs.3251200.0,54,1,Bandhan Bank Ltd.,Yes,0
99,Existing,2005,Rs.1016000.0,BLACKTOP INC,No,Urban,Rs.0.0,3,238990,Rs.2032000.0,Rs.15791972.48,126,1,National Bank for Agriculture and Rural Development,Yes,0
100,New,2007,Rs.2032000.0,A & W Enterprises of Chicago C,No,Urban,Rs.4053840.0,2,423910,Rs.4064000.0,Rs.11163076.48,86,0,Dhanlaxmi Bank Ltd.,Yes,1
101,Existing,2009,Rs.1016000.0,"Sangalis Financial Group, Inco",No,Urban,Rs.0.0,2,524210,Rs.2032000.0,Rs.3755948.8000000003,126,0,Export-Import Bank of India,Yes,0
102,Existing,2004,Rs.1219200.0,EAMON CUNNINGHAM CONSTRUCTION,No,Urban,Rs.0.0,3,236118,Rs.2438400.0,Rs.10566400.0,106,1,Bank of India,Yes,0
103,Existing,2005,Rs.406400.0,A. Hallmark Enterprises,No,Urban,Rs.0.0,5,424450,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
104,Existing,2000,Rs.15666720.0,COMPUTER RENAISSANCE,No,Urban,Rs.8786449.28,4,443120,Rs.20888960.0,Rs.16824960.0,78,18925,ESAF Small Finance Bank Ltd.,No,1
105,New,1997,Rs.6502400.0,CARR'S FAMILY HARDWARE,No,Undefined,Rs.0.0,1,444130,Rs.8128000.0,Rs.8128000.0,180,1,National Housing Bank,0,0
106,Existing,2007,Rs.2032000.0,"GREAT DEALS ON WHEELS, INC.",No,Rural,Rs.0.0,1,441229,Rs.4064000.0,Rs.4064000.0,126,0,Karur Vysya Bank Ltd.,Yes,0
107,Existing,2002,Rs.203200.0,HAWTHORNE CLINICAL & NEUROPSYC,No,Urban,Rs.0.0,2,621399,Rs.406400.0,Rs.527832.3200000001,126,1,City Union Bank Ltd.,Yes,0
108,Existing,1991,Rs.3803904.0,DEVILS LAKE AIRCRAFT SERVICE,No,Undefined,Rs.0.0,2,0,Rs.4226560.0,Rs.4226560.0,180,1,Small Industries Development Bank of India,No,0
109,Existing,2003,Rs.2235200.0,MART LIQUOR,No,Urban,Rs.0.0,2,445310,Rs.4470400.0,Rs.5527040.0,126,1,ICICI Bank Ltd.,Yes,0
110,New,1997,Rs.4572000.0,WESTWYRE CO. INC.,No,Undefined,Rs.0.0,1,0,Rs.6096000.0,Rs.6096000.0,126,1,Assam Gramin Vikash Bank,0,0
111,Existing,2005,Rs.2032000.0,Gary Kauer dba Kauer Construct,No,Urban,Rs.0.0,4,238910,Rs.4064000.0,Rs.8025343.36,126,1,Andhra Pradesh Grameena Vikas Bank,Yes,0
112,Existing,1997,Rs.6096000.0,BOSTON STREET BABY STORE INC.,No,Undefined,Rs.0.0,4,448130,Rs.8128000.0,Rs.8128000.0,162,1,IDBI Bank Limited,0,0
113,Existing,2006,Rs.2032000.0,"Vedic Group, Inc.",No,Urban,Rs.0.0,11,541618,Rs.4064000.0,Rs.8014289.28,126,0,ICICI Bank Ltd.,Yes,0
114,Existing,2002,Rs.45921168.0,COOL ZONE,No,Urban,Rs.0.0,5,447110,Rs.61228224.0,Rs.61228224.0,158,1,Andhra Pragathi Grameena Bank,0,0
115,Existing,2001,Rs.3966464.0,OGDEN'S CARPET OUTLETS,Yes,Urban,Rs.0.0,4,442210,Rs.4958080.0,Rs.4958080.0,90,60235,Arunachal Pradesh Rural Bank,0,0
116,Existing,1999,Rs.2064512.0,HUGHES & KNOLLMAN CONTRUCTION,No,Undefined,Rs.0.0,10,0,Rs.4129024.0,Rs.4129024.0,90,1,Dhanlaxmi Bank Ltd.,Yes,0
117,Existing,2001,Rs.1625600.0,GREAT ARTSPECTATIONS INC,No,Undefined,Rs.1167180.8,3,541870,Rs.2032000.0,Rs.1463040.0,40,1,Dhanlaxmi Bank Ltd.,0,1
118,Existing,1995,Rs.4389120.0,MID-POINT MACHINE INC,No,Undefined,Rs.0.0,3,332115,Rs.4876800.0,Rs.4876800.0,90,1,Karur Vysya Bank Ltd.,No,0
119,Existing,2006,Rs.49743360.0,RENNWERKS LLC,No,Urban,Rs.0.0,4,811111,Rs.49743360.0,Rs.49743360.0,360,1,Aryavart Bank,0,0
120,Existing,1993,Rs.4023360.0,NETTIE'S VARIETY STORE,No,Undefined,Rs.0.0,1,452990,Rs.4470400.0,Rs.4470400.0,126,1,Bangiya Gramin Vikash Bank,No,0
121,Existing,2000,Rs.6502400.0,AP+I DESIGN INC,No,Urban,Rs.0.0,11,541310,Rs.8128000.0,Rs.8128000.0,180,1,IDBI Bank Limited,0,0
122,New,2007,Rs.812800.0,Sandra N Heinman DBA Sandy's N,No,Urban,Rs.0.0,1,722110,Rs.1625600.0,Rs.1625600.0,90,0,Baroda Gujarat Gramin Bank,No,0
123,Existing,2006,Rs.1016000.0,MCDental Care P.L.L.C.,No,Urban,Rs.0.0,2,621210,Rs.2032000.0,Rs.9306560.0,159,0,Paytm Payments Bank Ltd,T,0
124,Existing,1994,Rs.11338560.0,BLUE WILLOW CAFE INC,No,Undefined,Rs.0.0,18,0,Rs.12598400.0,Rs.12598400.0,270,1,Export-Import Bank of India,No,0
125,Existing,1989,Rs.1828800.0,GRAF'S POPCORN WAGON,No,Undefined,Rs.0.0,4,0,Rs.2438400.0,Rs.2438400.0,180,0,Karur Vysya Bank Ltd.,No,0
126,Existing,2005,Rs.406400.0,Davis Enterprise,No,Rural,Rs.0.0,4,561720,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
127,Existing,1992,Rs.8595360.0,FINE WOODEN FURNITURE,No,Undefined,Rs.0.0,2,0,Rs.10160000.0,Rs.10160000.0,270,1,Baroda Rajasthan Kshetriya Gramin Bank,No,0
128,Existing,2007,Rs.1381760.0,P & Pi International Investmen,No,Urban,Rs.1315760.6400000001,2,524128,Rs.1625600.0,Rs.1625600.0,82,0,Tamilnad Mercantile Bank Ltd.,No,1
129,Existing,2002,Rs.2832608.0,EXPERT ENTERTAINMENT ELECTRONI,Yes,Urban,Rs.0.0,4,421690,Rs.3332480.0,Rs.3332480.0,90,1,CSB Bank Limited,0,0
130,Existing,2000,Rs.3048000.0,G & B JANITORIAL SUPPLY INC,No,Urban,Rs.0.0,4,0,Rs.6096000.0,Rs.9580717.44,72,1,ICICI Bank Ltd.,Yes,0
131,New,2004,Rs.1219200.0,TOTAL BEAUTY CLINIC,No,Urban,Rs.1959010.56,1,812112,Rs.2438400.0,Rs.4242490.88,42,1,Jana Small Finance Bank Ltd,Yes,1
132,Existing,1993,Rs.12192000.0,"TJC ONE, LLC",No,Undefined,Rs.0.0,87,0,Rs.12192000.0,Rs.12192000.0,360,43555,Baroda UP Bank,No,0
133,Existing,2005,Rs.2072640.0,"EXCEL PRECISION PRODUCTS, INC.",No,Rural,Rs.0.0,3,332710,Rs.2438400.0,Rs.2438400.0,126,1,Chaitanya Godavari GB,No,0
134,Existing,2006,Rs.1016000.0,INDOOR FUN 'N' MORE INC.,No,Urban,Rs.2011680.0,5,423920,Rs.2032000.0,Rs.2032000.0,106,0,City Union Bank Ltd.,No,1
135,Existing,2007,Rs.73070720.0,ROYAL VENDING INC,No,Urban,Rs.0.0,18,454210,Rs.73070720.0,Rs.73070720.0,360,1,Chhattisgarh Rajya Gramin Bank,0,0
136,New,1993,Rs.4791456.0,ORTHOPEDIC PHYSICAL THERAPY,No,Undefined,Rs.0.0,2,0,Rs.5323840.0,Rs.5323840.0,126,1,IDBI Bank Limited,No,0
137,Existing,2007,Rs.2032000.0,"ALTAIR HOLDINGS, LLC",No,Urban,Rs.0.0,15,712190,Rs.4064000.0,Rs.4064000.0,126,0,City Union Bank Ltd.,Yes,0
138,Existing,1995,Rs.5957011.2,AL'S AMOCO,No,Undefined,Rs.0.0,6,0,Rs.8510016.0,Rs.8474415.36,126,1,Karur Vysya Bank Ltd.,0,0
139,Existing,2008,Rs.625856.0,"J & K TRUCKING, INC.",No,Urban,Rs.0.0,18,484110,Rs.1251712.0,Rs.1251712.0,126,0,Dhanlaxmi Bank Ltd.,No,0
